,x,y,z
0,333208.000016,4269282.99995,4942.46
1,330035.999965,4264716.0,4897.8
2,332538.353111,4265699.1384,4999.56
3,332721.023481,4259848.87293,4956.98
4,331398.46645,4255381.89614,5029.54
5,336732.003017,4264165.97187,5193.57
6,335529.984215,4259049.01093,5134.51
7,334303.987898,4258057.02237,4993.0
8,333337.812802,4265143.03005,5007.87
