DATE,MHIUT49035A052NCEN
1989-01-01,30997
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,37085
1994-01-01,.
1995-01-01,40420
1996-01-01,.
1997-01-01,44118
1998-01-01,45484
1999-01-01,46183
2000-01-01,48688
2001-01-01,48348
2002-01-01,47892
2003-01-01,49076
2004-01-01,50420
2005-01-01,48398
2006-01-01,52951
2007-01-01,56378
2008-01-01,59168
2009-01-01,56954
2010-01-01,56664
2011-01-01,56166
2012-01-01,58743
2013-01-01,61716
2014-01-01,62536
2015-01-01,65549
2016-01-01,68404
2017-01-01,71396
